,carat,depth,table,price,cut_encoded,color_encoded,clarity_encoded
60,0.35,60.9,57.0,552,4,1,4
61,0.3,62.6,59.0,552,3,6,2
62,0.3,62.5,57.0,552,4,6,2
63,0.3,62.1,56.0,552,4,6,2
64,0.42,61.5,59.0,552,3,1,1
65,0.28,61.4,56.0,553,4,3,5
66,0.32,62.0,55.3,553,4,1,6
67,0.31,63.3,57.0,553,2,3,2
68,0.31,61.8,58.0,553,3,3,2
69,0.24,60.7,58.0,553,3,5,6
70,0.24,61.5,60.0,553,2,6,6
71,0.3,63.1,56.0,554,2,2,2
72,0.3,62.9,59.0,554,3,2,2
73,0.3,62.5,57.0,554,3,2,2
74,0.3,63.7,57.0,554,1,2,2
75,0.26,59.2,60.0,554,2,4,5
76,0.26,59.9,58.0,554,2,5,5
77,0.26,62.4,54.0,554,2,6,5
78,0.26,62.8,60.0,554,2,6,5
79,0.26,62.6,59.0,554,2,5,6
80,0.26,63.4,59.0,554,2,5,6
81,0.26,62.1,60.0,554,2,6,6
82,0.26,62.9,58.0,554,4,5,5
83,0.38,61.6,56.0,554,4,1,1
84,0.26,57.9,60.0,554,1,5,6
85,0.24,62.3,59.0,554,3,3,6
86,0.24,61.2,58.0,554,3,2,6
87,0.24,60.8,59.0,554,3,2,6
88,0.24,60.7,58.0,554,3,2,5
89,0.32,62.9,58.0,554,3,1,2
90,0.7,62.5,57.0,2757,4,5,2
92,0.7,61.6,56.0,2757,4,3,3
93,0.71,62.4,57.0,2759,2,5,3
94,0.78,63.8,56.0,2759,2,3,1
95,0.7,57.5,58.0,2759,1,5,3
96,0.7,59.4,62.0,2759,1,4,4
97,0.96,66.3,62.0,2759,0,4,1
98,0.73,61.6,59.0,2760,2,5,2
99,0.8,61.5,58.0,2760,3,2,2
100,0.75,63.2,56.0,2760,2,6,2
101,0.75,59.9,54.0,2760,3,5,2
102,0.74,61.6,55.0,2760,4,3,2
103,0.75,61.7,58.0,2760,3,3,3
104,0.8,62.9,56.0,2760,4,1,4
105,0.75,62.2,55.0,2760,4,3,2
106,0.8,63.0,59.0,2760,3,3,2
107,0.74,62.3,55.0,2761,4,1,5
108,0.81,58.8,57.0,2761,4,4,1
109,0.59,62.0,55.0,2761,4,5,5
110,0.8,61.4,57.0,2761,4,4,1
111,0.74,62.2,56.0,2761,4,5,1
112,0.9,63.0,58.0,2761,3,1,3
113,0.74,62.2,59.0,2762,2,3,2
114,0.73,62.6,56.0,2762,4,4,3
115,0.73,62.7,53.0,2762,4,4,3
116,0.8,61.7,58.0,2762,3,4,1
117,0.71,62.4,54.0,2762,4,3,3
118,0.7,60.7,58.0,2762,4,5,3
119,0.8,59.9,59.0,2762,4,4,1
120,0.71,62.3,56.0,2762,4,6,1
121,0.74,62.3,54.0,2762,4,5,2
122,0.7,61.7,63.0,2762,2,4,3
123,0.7,64.5,57.0,2762,0,4,3
124,0.7,65.3,55.0,2762,0,4,3
125,0.7,61.6,60.0,2762,3,4,3
126,0.91,61.4,56.0,2763,3,2,2
127,0.61,59.6,57.0,2763,2,6,5
128,0.91,64.4,57.0,2763,0,2,1
129,0.91,65.7,60.0,2763,0,2,1
130,0.77,62.0,56.0,2763,4,2,3
131,0.71,63.6,58.0,2764,2,6,2
132,0.71,61.9,59.0,2764,4,6,2
133,0.7,62.6,60.0,2765,2,5,3
134,0.77,61.3,60.0,2765,2,2,4
135,0.63,60.9,60.0,2765,3,5,6
136,0.71,60.1,62.0,2765,2,4,4
137,0.71,61.8,59.0,2765,3,4,4
138,0.76,61.2,57.0,2765,4,2,2
139,0.64,61.9,56.0,2766,4,3,6
140,0.71,60.9,57.0,2766,3,3,3
141,0.71,59.8,56.0,2766,3,3,3
142,0.7,61.8,55.0,2767,2,6,3
143,0.7,60.0,57.0,2767,2,4,4
144,0.71,61.6,55.0,2767,4,6,1
145,0.7,62.1,64.0,2767,1,2,5
146,0.71,63.3,59.0,2768,2,3,4
147,0.73,60.2,56.0,2768,2,6,2
148,0.7,61.1,58.0,2768,2,6,2
149,0.7,60.9,57.0,2768,4,5,2
150,0.71,61.7,59.0,2768,3,6,1
151,0.74,61.3,56.0,2769,4,1,2
152,0.71,62.5,60.0,2770,3,6,3
153,0.73,61.4,59.0,2770,3,3,3
154,0.76,62.9,57.0,2770,2,4,2
155,0.76,62.4,57.0,2770,4,6,1
156,0.71,60.7,56.0,2770,4,4,2
157,0.73,60.7,58.0,2770,3,3,3
158,0.73,61.5,58.0,2770,3,3,4
159,0.73,59.9,57.0,2770,4,6,1
160,0.73,59.2,59.0,2770,3,3,3
161,0.72,60.3,56.0,2771,2,2,5
162,0.73,61.7,60.0,2771,2,4,2
163,0.71,61.9,57.0,2771,4,3,3
164,0.79,61.9,55.0,2771,4,4,1
165,0.73,60.4,59.0,2772,2,2,6
166,0.8,61.0,57.0,2772,2,4,1
167,0.58,61.5,55.0,2772,4,3,6
168,0.58,61.7,56.0,2772,4,4,6
169,0.71,59.2,61.0,2772,1,5,3
170,0.75,61.3,56.0,2773,4,6,1
171,0.7,58.0,62.0,2773,3,6,3
172,1.17,60.2,61.0,2774,2,0,0
173,0.6,61.7,55.0,2774,4,5,4
174,0.7,62.7,55.0,2774,4,5,2
175,0.83,64.6,54.0,2774,1,1,3
176,0.74,61.3,61.0,2775,2,4,3
177,0.72,63.7,56.4,2776,2,3,3
178,0.71,62.7,58.0,2776,3,5,3
179,0.71,62.2,57.0,2776,4,5,3
180,0.54,61.6,56.0,2776,4,5,5
181,0.54,61.5,57.0,2776,4,5,5
182,0.72,61.8,56.0,2776,4,3,2
183,0.72,60.7,56.0,2776,4,3,2
184,0.72,59.7,60.5,2776,1,3,3
185,0.71,60.5,56.0,2776,4,3,2
186,0.7,62.7,58.0,2777,2,6,4
187,0.71,62.1,58.0,2777,3,4,3
188,0.71,62.8,57.0,2777,2,4,3
189,0.71,63.8,58.0,2777,1,4,3
190,0.71,57.8,60.0,2777,1,4,3
191,0.7,62.1,55.0,2777,4,5,3
192,0.7,61.1,60.0,2777,3,5,3
193,0.7,60.0,59.0,2777,3,5,2
194,0.7,61.2,57.0,2777,3,5,2
195,0.7,62.7,59.0,2777,3,5,2
196,0.7,61.0,57.0,2777,3,5,2
197,0.7,61.0,58.0,2777,3,5,2
198,0.7,61.4,57.0,2777,4,5,2
199,0.72,61.8,61.0,2777,3,4,2
200,0.7,59.9,63.0,2777,2,5,2
201,0.7,61.3,58.0,2777,3,5,2
202,0.7,60.5,58.0,2777,3,5,2
203,0.7,64.1,59.0,2777,1,5,3
205,0.78,62.4,58.0,2777,3,4,2
206,0.7,63.2,60.0,2777,2,5,2
207,0.52,61.3,55.0,2778,4,4,6
208,0.73,60.8,56.0,2779,2,2,3
209,0.74,61.7,56.0,2779,4,5,2
210,0.7,63.6,57.0,2780,2,4,3
211,0.77,61.2,58.0,2780,3,3,3
212,0.71,62.1,54.0,2780,4,4,3
213,0.74,61.5,55.0,2780,4,3,4
214,0.7,61.4,59.0,2780,4,3,4
215,1.01,61.8,60.0,2781,3,4,0
216,0.77,62.2,56.0,2781,4,2,2
217,0.78,61.2,56.0,2781,4,2,2
218,0.72,60.6,63.0,2782,2,2,4
219,0.53,57.5,64.0,2782,2,6,5
220,0.76,61.3,56.0,2782,4,3,3
221,0.7,57.2,62.0,2782,1,5,4
222,0.7,62.9,60.0,2782,3,5,4
223,0.75,63.1,58.0,2782,2,6,1
224,0.72,60.8,57.0,2782,4,6,2
225,0.72,62.7,59.0,2782,3,6,2
226,0.7,62.8,60.0,2782,3,6,2
228,0.75,61.4,59.0,2782,3,4,2
229,0.52,62.2,55.0,2783,4,4,7
230,0.72,63.0,54.0,2784,2,4,3
231,0.79,63.7,56.0,2784,2,2,4
232,0.72,63.6,58.0,2787,2,4,3
233,0.51,62.0,57.0,2787,4,4,6
234,0.64,61.5,56.0,2787,4,6,4
235,0.7,60.5,60.0,2788,2,2,6
236,0.83,61.1,60.0,2788,2,1,4
237,0.76,61.8,56.0,2788,4,1,5
238,0.71,63.3,56.0,2788,1,6,3
239,0.77,59.4,64.0,2788,1,3,4
240,0.71,62.5,55.0,2788,4,4,2
241,1.01,64.5,58.0,2788,0,5,0
242,1.01,62.7,59.0,2788,3,2,1
243,0.77,64.2,52.0,2789,1,4,2
244,0.76,63.7,54.0,2789,1,5,2
245,0.76,60.4,58.0,2789,3,5,2
246,0.76,61.8,58.0,2789,3,5,2
247,1.05,63.2,56.0,2789,2,0,1
248,0.81,61.6,56.0,2789,4,3,1
249,0.7,61.6,56.0,2789,4,5,2
250,0.55,60.9,57.0,2789,4,3,7
251,0.81,61.0,61.0,2789,1,3,1
252,0.63,62.1,57.0,2789,3,5,5
253,0.63,60.9,60.0,2789,3,5,6
254,0.77,61.3,60.0,2789,3,2,4
255,1.05,65.8,59.0,2789,0,0,1
256,0.64,61.3,56.0,2790,4,3,7
257,0.76,58.8,59.0,2790,3,1,6
258,0.83,62.3,55.0,2790,4,4,1
259,0.71,60.1,62.0,2790,3,4,4
260,0.71,61.8,59.0,2790,3,4,4
261,0.87,63.6,55.8,2791,2,1,2
262,0.73,62.2,56.0,2791,4,5,2
263,0.71,59.2,59.0,2792,3,5,2
264,0.71,61.8,59.0,2792,3,5,2
265,0.71,61.3,55.0,2792,4,5,2
266,0.7,62.1,60.0,2792,3,4,4
267,0.7,60.7,60.0,2792,3,4,4
268,0.76,59.6,57.0,2792,3,2,5
269,0.7,62.2,56.0,2792,4,4,4
270,0.79,60.6,57.0,2793,2,3,2
271,0.7,62.9,57.0,2793,2,5,3
272,0.7,64.1,55.0,2793,1,5,3
273,0.76,61.3,56.0,2793,4,1,3
274,0.73,62.7,55.0,2793,4,2,3
275,0.79,63.2,56.0,2794,2,5,2
276,0.71,60.7,56.0,2795,2,5,3
277,0.81,61.9,60.0,2795,3,1,5
278,0.81,62.6,55.0,2795,4,4,1
279,0.72,60.7,60.0,2795,1,4,4
280,0.72,62.0,60.0,2795,3,6,1
281,0.72,63.0,57.0,2795,3,1,7
282,0.81,58.0,59.0,2795,3,2,3
283,0.72,62.9,57.0,2795,3,3,3
284,1.0,58.2,60.0,2795,3,1,1
285,0.73,63.2,58.0,2796,1,5,2
286,0.81,61.3,59.0,2797,2,2,1
287,0.81,60.3,60.0,2797,2,5,2
288,0.71,62.7,60.0,2797,3,6,2
289,0.71,61.3,58.0,2797,3,6,2
290,0.71,61.6,60.0,2797,3,6,2
291,0.57,61.9,55.0,2797,4,4,5
292,0.51,61.7,56.0,2797,4,6,6
293,0.72,61.9,58.0,2797,4,3,3
294,0.74,61.8,58.0,2797,4,2,4
295,0.74,61.6,56.0,2797,4,2,4
296,0.7,58.8,66.0,2797,0,3,6
297,0.8,61.0,57.0,2797,3,4,1
299,0.8,63.4,60.0,2797,2,2,3
300,0.77,61.5,59.0,2798,4,1,4
301,0.83,58.0,62.0,2799,2,5,1
302,0.82,62.4,54.0,2799,4,4,1
303,0.78,61.9,57.0,2799,4,6,2
304,0.6,61.6,56.0,2800,2,3,7
305,0.9,62.2,59.0,2800,1,1,1
306,0.7,62.2,58.0,2800,3,5,4
307,0.9,61.3,56.0,2800,2,1,1
308,0.83,62.3,57.0,2800,4,3,2
309,0.83,61.8,57.0,2800,4,3,2
310,0.83,62.5,59.0,2800,2,2,2
311,0.74,62.9,60.0,2800,3,3,4
312,0.79,61.8,59.0,2800,4,1,4
313,0.61,62.3,56.0,2800,4,3,7
315,0.96,60.7,55.0,2801,4,4,0
316,0.73,62.5,55.0,2801,4,4,3
317,0.73,62.7,58.0,2801,3,4,3
318,0.75,60.4,57.0,2801,4,2,2
319,0.71,62.1,58.0,2801,3,4,3
320,0.71,57.8,60.0,2801,1,4,3
321,0.71,63.8,58.0,2801,1,4,3
322,0.71,62.8,57.0,2801,3,4,3
323,1.04,62.2,58.0,2801,3,3,0
324,1.0,62.3,58.0,2801,3,0,1
325,0.87,59.9,58.0,2802,2,3,1
326,0.53,61.9,54.0,2802,4,4,7
327,0.72,63.0,55.0,2802,3,5,3
328,0.72,62.4,58.0,2802,3,4,4
329,0.7,62.9,58.0,2803,2,4,3
330,0.74,63.5,56.0,2803,2,5,2
331,0.71,61.3,56.0,2803,4,3,3
332,0.73,60.6,54.0,2803,4,5,2
333,0.7,65.1,58.0,2803,1,3,4
334,0.71,62.6,58.0,2803,3,4,3
335,0.71,58.0,62.0,2803,3,4,3
336,0.71,62.4,61.0,2803,3,3,4
337,0.77,61.3,57.0,2803,3,3,3
338,0.71,59.9,60.0,2803,3,3,3
339,0.78,60.8,58.0,2803,3,3,3
340,0.71,63.5,55.0,2803,2,3,4
341,0.91,62.2,57.0,2803,4,6,1
342,0.71,63.8,58.0,2804,2,5,3
343,0.71,64.0,57.0,2804,2,5,3
344,0.8,62.5,56.0,2804,2,5,1
345,0.7,62.3,58.0,2804,2,6,2
346,0.72,61.7,57.0,2804,4,4,4
347,0.72,62.2,58.0,2804,2,4,4
348,0.82,61.5,56.0,2804,4,2,3
349,0.7,61.0,59.0,2804,4,6,2
350,0.72,62.2,56.0,2804,4,6,2
351,0.72,61.5,54.0,2804,4,6,2
353,0.74,61.7,58.0,2805,3,4,3
354,0.74,61.9,56.0,2805,3,4,3
355,0.73,61.8,58.0,2805,4,5,1
356,0.57,58.7,66.0,2805,0,5,6
357,0.73,62.5,57.0,2805,3,4,3
358,0.72,62.8,56.0,2805,4,3,3
359,0.74,61.1,68.0,2805,0,4,3
360,0.82,64.0,57.0,2805,1,3,3
361,0.81,62.5,60.0,2806,2,3,2
362,0.75,60.6,58.0,2806,2,2,6
363,0.7,61.6,55.0,2806,4,4,2
364,0.71,62.2,58.0,2807,2,4,4
365,0.71,60.0,57.0,2807,2,4,4
366,0.93,61.9,57.0,2807,3,0,1
367,0.8,62.8,57.0,2808,2,2,3
368,0.7,62.0,57.0,2808,2,4,4
369,1.0,66.4,59.0,2808,0,3,0
370,0.75,63.4,56.0,2808,2,3,3
371,0.58,60.9,56.0,2808,4,5,5
372,0.73,63.1,57.0,2808,2,6,2
373,0.81,63.1,59.0,2809,2,4,2
374,0.81,59.2,57.0,2809,3,6,1
375,0.71,60.7,54.0,2809,3,4,2
376,1.2,64.6,56.0,2809,0,4,0
377,0.7,61.8,56.0,2810,2,4,4
378,0.7,59.9,60.0,2810,2,4,4
379,0.74,61.7,55.0,2810,4,6,1
380,0.7,62.8,61.0,2810,1,4,4
381,0.8,62.7,57.0,2810,1,3,2
382,0.75,63.4,58.0,2811,2,4,2
383,0.83,63.5,54.0,2811,2,6,2
384,1.0,65.7,59.0,2811,0,0,3
386,0.7,63.0,60.0,2812,2,3,4
387,0.7,59.5,58.0,2812,2,4,3
388,0.7,63.5,59.0,2812,1,5,2
389,0.7,61.7,58.0,2812,2,4,3
390,0.32,62.7,58.0,554,3,1,2
391,0.32,62.8,58.0,554,3,1,2
392,0.32,62.4,57.0,554,4,1,2
393,0.32,61.0,59.0,554,3,1,2
394,0.32,63.1,56.0,554,2,1,2
395,0.32,60.7,57.0,554,4,1,2
396,0.3,60.9,59.0,554,3,2,2
397,0.3,60.1,55.0,554,3,2,2
398,0.3,62.9,58.0,554,3,2,2
399,0.3,63.3,56.0,554,2,2,2
400,0.3,63.8,55.0,554,1,2,2
401,0.3,62.9,57.0,554,4,2,2
402,0.3,63.4,60.0,554,2,2,2
403,0.32,63.9,55.0,554,1,1,2
404,0.33,61.4,56.0,554,4,2,1
405,0.29,61.9,55.0,555,2,5,4
406,0.29,62.4,55.0,555,2,5,4
407,0.31,61.8,58.0,555,2,4,2
408,0.34,61.5,56.0,555,4,2,3
409,0.34,60.4,57.0,555,4,2,3
410,0.34,61.8,55.0,555,4,1,4
411,0.34,62.0,56.0,555,4,1,4
412,0.3,62.3,56.0,555,4,3,4
413,0.29,61.6,56.0,555,4,4,4
414,0.35,60.6,56.0,555,4,3,2
415,0.43,58.4,62.0,555,2,5,0
416,0.32,61.4,58.0,556,2,4,3
417,0.36,61.9,56.0,556,4,1,3
418,0.3,62.0,56.0,556,4,3,3
419,0.26,61.5,57.0,556,4,5,4
420,0.7,62.3,58.0,2812,2,4,3
421,0.7,60.9,61.0,2812,2,4,3
422,0.71,62.4,57.0,2812,4,6,2
424,0.73,58.6,60.0,2812,3,5,3
425,0.51,62.0,57.0,2812,4,4,6
426,0.91,59.8,58.0,2813,3,3,1
427,0.84,63.4,55.0,2813,2,5,2
428,0.91,64.3,58.0,2813,1,1,3
429,0.76,62.2,59.0,2814,3,5,2
430,0.76,61.7,57.0,2814,4,5,2
431,0.75,61.1,59.0,2814,3,5,2
432,0.55,61.5,56.0,2815,2,6,6
433,0.76,58.5,62.0,2815,2,4,1
434,0.74,61.7,58.0,2815,3,3,4
435,0.7,60.4,56.0,2815,4,2,2
436,0.7,61.4,56.0,2815,4,2,2
437,0.7,61.5,55.0,2815,4,2,2
438,0.7,61.4,56.0,2815,4,2,2
439,0.9,65.0,56.0,2815,0,0,3
441,0.89,60.2,59.0,2815,3,2,1
442,0.72,58.3,58.0,2815,3,5,3
444,1.02,60.3,58.0,2815,3,3,0
445,0.78,61.4,56.0,2816,2,1,5
446,0.61,60.1,57.0,2816,4,3,5
447,0.71,63.4,55.0,2816,1,6,4
448,0.78,61.5,59.0,2816,3,4,2
449,0.87,62.7,56.0,2816,4,2,1
450,0.83,62.5,55.0,2816,4,2,2
451,0.71,61.3,56.0,2817,3,5,2
452,0.71,60.2,56.0,2817,4,1,5
453,0.71,62.7,57.0,2817,4,5,3
454,0.71,62.3,58.0,2817,3,5,3
455,0.63,61.5,56.0,2817,4,4,5
456,0.71,59.2,59.0,2817,3,5,2
457,0.71,61.8,59.0,2817,3,5,2
458,0.71,61.3,55.0,2817,4,5,2
459,0.71,61.4,58.0,2817,3,5,2
460,0.9,62.8,55.0,2817,4,0,3
461,0.71,62.8,64.0,2817,1,5,2
462,0.7,62.4,61.0,2818,3,5,3
463,0.7,59.3,60.0,2818,3,5,3
464,0.7,63.0,60.0,2818,3,5,3
465,1.0,61.3,60.0,2818,3,2,0
466,0.86,59.3,62.0,2818,3,4,1
467,0.8,61.0,57.0,2818,4,2,2
468,0.7,62.9,57.0,2818,4,5,4
469,0.7,59.6,57.0,2818,3,5,4
470,0.7,61.8,60.0,2818,3,4,3
471,0.7,62.7,57.0,2818,3,5,4
472,1.0,65.3,62.0,2818,0,2,1
473,0.72,63.8,58.0,2819,2,3,4
474,0.72,62.3,56.0,2819,4,2,4
475,0.7,59.7,63.0,2819,1,4,4
476,0.86,64.3,60.0,2819,1,4,1
477,0.71,62.9,58.0,2820,4,3,4
478,0.75,62.0,57.0,2821,4,5,2
479,0.73,61.6,59.0,2821,3,5,3
480,0.53,61.9,55.0,2821,4,5,6
481,0.73,61.3,58.0,2821,3,5,2
482,0.73,63.6,57.0,2821,1,5,2
483,0.73,59.6,61.0,2821,3,5,2
484,0.73,62.2,59.0,2821,3,5,2
485,0.73,61.7,55.0,2821,3,6,2
486,0.73,63.2,58.0,2821,2,5,2
487,0.7,60.8,60.0,2822,3,5,4
488,0.72,60.3,59.0,2822,3,5,3
489,0.72,60.9,60.0,2822,3,5,3
490,0.72,62.4,59.0,2822,3,5,3
491,0.7,60.2,60.0,2822,3,5,3
492,0.6,62.0,55.0,2822,4,4,5
493,0.74,60.8,57.0,2822,4,1,6
494,0.73,62.1,55.0,2822,4,4,2
495,0.71,62.7,60.0,2822,3,6,2
496,0.71,61.3,58.0,2822,3,6,2
497,0.7,60.2,60.0,2822,3,6,2
498,0.7,60.7,56.0,2822,4,6,2
499,0.9,64.0,61.0,2822,1,0,3
500,0.71,60.2,56.0,2822,4,6,2
501,0.7,61.5,59.0,2822,3,5,3
502,0.7,62.6,56.0,2822,3,5,3
503,0.7,59.7,58.0,2822,4,6,2
504,0.7,61.4,64.0,2822,1,5,2
505,0.7,62.5,57.0,2822,4,6,2
506,0.7,61.8,56.0,2822,4,6,2
507,0.7,60.7,62.0,2822,3,5,3
508,0.7,60.6,58.0,2822,3,4,3
509,0.7,61.4,54.0,2822,4,6,2
510,0.79,62.8,59.0,2823,2,6,1
511,0.9,63.8,57.0,2823,1,1,2
512,0.71,62.3,58.0,2823,3,5,3
513,0.61,61.3,54.0,2823,4,5,5
514,0.9,65.8,54.0,2823,0,2,1
515,0.71,60.5,56.0,2823,4,5,2
516,0.71,61.2,59.0,2824,3,6,3
517,0.77,62.1,57.0,2824,4,1,5
518,0.74,63.1,58.0,2824,1,5,4
519,0.82,62.4,54.0,2824,4,4,1
520,0.82,60.8,60.0,2824,3,5,1
521,0.71,62.2,59.0,2825,3,3,4
522,0.83,60.0,59.0,2825,3,2,2
523,0.73,62.0,57.0,2825,2,3,4
524,0.83,62.5,59.0,2825,3,2,2
525,1.17,60.2,61.0,2825,3,0,0
526,0.91,61.3,67.0,2825,0,2,1
527,0.73,62.6,60.0,2826,3,5,4
528,0.7,57.2,59.0,2826,1,5,4
529,0.9,62.2,59.0,2826,3,1,1
530,0.7,62.2,58.0,2826,3,5,4
531,0.7,63.3,56.0,2826,2,6,3
532,0.7,59.4,61.0,2826,3,5,4
533,0.9,63.5,56.0,2826,2,1,1
534,0.78,60.8,60.0,2826,3,4,2
535,0.96,60.7,55.0,2826,4,4,0
536,0.7,62.3,59.0,2827,2,6,2
537,0.72,64.0,54.0,2827,1,6,3
538,0.79,62.6,58.0,2827,3,2,5
539,0.7,61.6,57.0,2827,4,2,6
540,0.7,62.3,55.0,2827,4,2,6
541,0.7,60.6,57.0,2828,4,6,1
542,1.01,61.6,61.0,2828,3,2,1
543,0.72,62.2,58.0,2829,3,4,4
544,0.8,63.7,54.0,2829,1,5,1
545,0.59,62.0,56.0,2829,4,5,6
546,0.72,61.7,57.0,2829,4,4,4
547,0.75,61.9,57.0,2829,3,5,1
548,0.8,60.2,57.0,2829,3,5,1
549,0.71,62.7,59.0,2830,2,5,3
550,0.77,61.7,56.0,2830,2,2,2
551,0.97,60.7,56.0,2830,4,4,0
552,0.53,60.9,57.0,2830,4,4,6
553,0.53,61.8,57.0,2830,4,4,6
554,0.8,62.1,54.4,2830,4,1,3
555,0.9,60.6,62.0,2830,3,3,2
556,0.76,60.8,60.0,2831,2,5,1
557,0.72,62.3,57.0,2831,4,5,2
558,0.75,61.4,57.0,2831,4,5,2
559,0.72,62.1,58.0,2831,3,5,2
560,0.79,61.8,56.0,2831,4,3,2
561,0.72,62.5,58.0,2832,2,4,3
562,0.91,62.8,61.0,2832,2,1,1
563,0.71,62.1,57.0,2832,3,3,5
564,0.81,63.0,60.0,2832,3,3,2
565,0.82,62.5,57.0,2832,4,2,2
566,0.71,62.2,58.0,2832,3,4,4
567,0.9,64.3,63.0,2832,1,0,2
568,0.8,62.0,58.0,2833,2,1,3
569,0.56,61.0,59.0,2833,2,5,7
570,0.7,59.6,61.0,2833,2,6,3
571,0.7,61.0,57.0,2833,4,6,3
572,0.61,61.7,55.0,2833,4,4,5
573,0.85,62.5,57.0,2833,4,2,1
574,0.7,60.7,57.0,2833,4,4,2
575,0.8,62.2,56.0,2834,4,3,3
576,0.8,62.8,57.0,2834,4,2,3
577,0.51,59.9,58.0,2834,2,6,6
578,0.53,61.4,57.0,2834,4,4,6
579,0.78,61.8,55.0,2834,4,1,3
580,0.9,63.4,54.0,2834,2,0,2
581,0.9,65.3,59.0,2834,0,3,1
582,0.77,60.7,55.0,2834,4,5,1
583,0.73,61.2,56.0,2835,4,4,4
584,0.63,61.9,57.0,2835,4,4,5
585,0.7,61.5,54.0,2835,4,5,3
586,0.72,62.8,57.0,2835,4,5,3
587,0.72,61.0,57.0,2835,4,5,2
588,0.75,59.6,59.0,2835,3,4,3
589,0.82,60.7,56.0,2836,2,2,2
590,0.71,62.8,60.0,2836,1,5,3
591,0.7,62.6,59.0,2837,3,5,4
592,0.7,61.8,56.0,2837,4,5,4
593,0.71,59.8,53.0,2838,4,4,2
594,0.76,60.9,55.0,2838,2,2,2
595,0.82,64.9,58.0,2838,0,4,2
596,0.72,58.8,60.0,2838,3,4,4
597,0.7,62.3,58.0,2838,3,4,3
598,0.7,61.7,58.0,2838,3,4,3
599,0.7,62.6,55.0,2838,3,3,4
600,0.7,59.4,61.0,2838,3,4,3
601,0.7,63.5,59.0,2838,2,5,2
602,0.7,60.9,61.0,2838,3,4,3
603,0.7,59.5,58.0,2838,3,4,3
604,0.7,63.0,60.0,2838,3,3,4
605,0.74,60.0,57.0,2839,2,5,2
606,0.71,61.5,57.0,2839,4,4,4
607,0.7,61.6,54.0,2839,4,4,4
608,0.71,62.1,55.0,2839,4,4,4
609,0.71,59.1,61.0,2839,3,4,4
610,0.71,59.0,60.0,2839,3,4,4
611,0.71,60.5,58.0,2839,3,4,4
612,0.7,62.4,53.0,2839,4,4,4
613,0.73,61.8,54.0,2839,4,3,3
614,0.7,62.1,54.0,2839,4,5,3
615,0.7,61.3,57.0,2839,4,3,4
616,0.71,60.3,58.0,2839,3,3,5
617,0.71,59.2,58.0,2839,3,4,4
618,0.79,59.3,62.0,2839,3,3,3
619,0.71,62.7,59.0,2839,3,4,4
620,0.77,61.0,60.0,2840,2,2,4
