,carat,depth,table,price,cut_encoded,color_encoded,clarity_encoded,carat_bins
162,0.73,61.7,60.0,2771,2,4,2,"(0.72, 0.98]"
164,0.79,61.9,55.0,2771,4,4,1,"(0.72, 0.98]"
168,0.58,61.7,56.0,2772,4,4,6,"(0.46, 0.72]"
170,0.75,61.3,56.0,2773,4,6,1,"(0.72, 0.98]"
171,0.7,58.0,62.0,2773,3,6,3,"(0.46, 0.72]"
173,0.6,61.7,55.0,2774,4,5,4,"(0.46, 0.72]"
176,0.74,61.3,61.0,2775,2,4,3,"(0.72, 0.98]"
178,0.71,62.7,58.0,2776,3,5,3,"(0.46, 0.72]"
179,0.71,62.2,57.0,2776,4,5,3,"(0.46, 0.72]"
181,0.54,61.5,57.0,2776,4,5,5,"(0.46, 0.72]"
183,0.72,60.7,56.0,2776,4,3,2,"(0.46, 0.72]"
184,0.72,59.7,60.5,2776,1,3,3,"(0.46, 0.72]"
185,0.71,60.5,56.0,2776,4,3,2,"(0.46, 0.72]"
186,0.7,62.7,58.0,2777,2,6,4,"(0.46, 0.72]"
191,0.7,62.1,55.0,2777,4,5,3,"(0.46, 0.72]"
193,0.7,60.0,59.0,2777,3,5,2,"(0.46, 0.72]"
198,0.7,61.4,57.0,2777,4,5,2,"(0.46, 0.72]"
199,0.72,61.8,61.0,2777,3,4,2,"(0.46, 0.72]"
202,0.7,60.5,58.0,2777,3,5,2,"(0.46, 0.72]"
208,0.73,60.8,56.0,2779,2,2,3,"(0.72, 0.98]"
209,0.74,61.7,56.0,2779,4,5,2,"(0.72, 0.98]"
211,0.77,61.2,58.0,2780,3,3,3,"(0.72, 0.98]"
213,0.74,61.5,55.0,2780,4,3,4,"(0.72, 0.98]"
217,0.78,61.2,56.0,2781,4,2,2,"(0.72, 0.98]"
218,0.72,60.6,63.0,2782,2,2,4,"(0.46, 0.72]"
226,0.7,62.8,60.0,2782,3,6,2,"(0.46, 0.72]"
228,0.75,61.4,59.0,2782,3,4,2,"(0.72, 0.98]"
229,0.52,62.2,55.0,2783,4,4,7,"(0.46, 0.72]"
230,0.72,63.0,54.0,2784,2,4,3,"(0.46, 0.72]"
231,0.79,63.7,56.0,2784,2,2,4,"(0.72, 0.98]"
233,0.51,62.0,57.0,2787,4,4,6,"(0.46, 0.72]"
234,0.64,61.5,56.0,2787,4,6,4,"(0.46, 0.72]"
235,0.7,60.5,60.0,2788,2,2,6,"(0.46, 0.72]"
237,0.76,61.8,56.0,2788,4,1,5,"(0.72, 0.98]"
244,0.76,63.7,54.0,2789,1,5,2,"(0.72, 0.98]"
247,1.05,63.2,56.0,2789,2,0,1,"(0.98, 1.24]"
248,0.81,61.6,56.0,2789,4,3,1,"(0.72, 0.98]"
250,0.55,60.9,57.0,2789,4,3,7,"(0.46, 0.72]"
253,0.63,60.9,60.0,2789,3,5,6,"(0.46, 0.72]"
254,0.77,61.3,60.0,2789,3,2,4,"(0.72, 0.98]"
255,1.05,65.8,59.0,2789,0,0,1,"(0.98, 1.24]"
256,0.64,61.3,56.0,2790,4,3,7,"(0.46, 0.72]"
257,0.76,58.8,59.0,2790,3,1,6,"(0.72, 0.98]"
258,0.83,62.3,55.0,2790,4,4,1,"(0.72, 0.98]"
261,0.87,63.6,55.8,2791,2,1,2,"(0.72, 0.98]"
262,0.73,62.2,56.0,2791,4,5,2,"(0.72, 0.98]"
264,0.71,61.8,59.0,2792,3,5,2,"(0.46, 0.72]"
265,0.71,61.3,55.0,2792,4,5,2,"(0.46, 0.72]"
266,0.7,62.1,60.0,2792,3,4,4,"(0.46, 0.72]"
269,0.7,62.2,56.0,2792,4,4,4,"(0.46, 0.72]"
271,0.7,62.9,57.0,2793,2,5,3,"(0.46, 0.72]"
272,0.7,64.1,55.0,2793,1,5,3,"(0.46, 0.72]"
273,0.76,61.3,56.0,2793,4,1,3,"(0.72, 0.98]"
274,0.73,62.7,55.0,2793,4,2,3,"(0.72, 0.98]"
275,0.79,63.2,56.0,2794,2,5,2,"(0.72, 0.98]"
281,0.72,63.0,57.0,2795,3,1,7,"(0.46, 0.72]"
285,0.73,63.2,58.0,2796,1,5,2,"(0.72, 0.98]"
288,0.71,62.7,60.0,2797,3,6,2,"(0.46, 0.72]"
289,0.71,61.3,58.0,2797,3,6,2,"(0.46, 0.72]"
292,0.51,61.7,56.0,2797,4,6,6,"(0.46, 0.72]"
295,0.74,61.6,56.0,2797,4,2,4,"(0.72, 0.98]"
300,0.77,61.5,59.0,2798,4,1,4,"(0.72, 0.98]"
302,0.82,62.4,54.0,2799,4,4,1,"(0.72, 0.98]"
304,0.6,61.6,56.0,2800,2,3,7,"(0.46, 0.72]"
307,0.9,61.3,56.0,2800,2,1,1,"(0.72, 0.98]"
308,0.83,62.3,57.0,2800,4,3,2,"(0.72, 0.98]"
309,0.83,61.8,57.0,2800,4,3,2,"(0.72, 0.98]"
312,0.79,61.8,59.0,2800,4,1,4,"(0.72, 0.98]"
313,0.61,62.3,56.0,2800,4,3,7,"(0.46, 0.72]"
315,0.96,60.7,55.0,2801,4,4,0,"(0.72, 0.98]"
316,0.73,62.5,55.0,2801,4,4,3,"(0.72, 0.98]"
324,1.0,62.3,58.0,2801,3,0,1,"(0.98, 1.24]"
325,0.87,59.9,58.0,2802,2,3,1,"(0.72, 0.98]"
327,0.72,63.0,55.0,2802,3,5,3,"(0.46, 0.72]"
330,0.74,63.5,56.0,2803,2,5,2,"(0.72, 0.98]"
331,0.71,61.3,56.0,2803,4,3,3,"(0.46, 0.72]"
337,0.77,61.3,57.0,2803,3,3,3,"(0.72, 0.98]"
338,0.71,59.9,60.0,2803,3,3,3,"(0.46, 0.72]"
343,0.71,64.0,57.0,2804,2,5,3,"(0.46, 0.72]"
346,0.72,61.7,57.0,2804,4,4,4,"(0.46, 0.72]"
350,0.72,62.2,56.0,2804,4,6,2,"(0.46, 0.72]"
351,0.72,61.5,54.0,2804,4,6,2,"(0.46, 0.72]"
353,0.74,61.7,58.0,2805,3,4,3,"(0.72, 0.98]"
355,0.73,61.8,58.0,2805,4,5,1,"(0.72, 0.98]"
358,0.72,62.8,56.0,2805,4,3,3,"(0.46, 0.72]"
362,0.75,60.6,58.0,2806,2,2,6,"(0.72, 0.98]"
363,0.7,61.6,55.0,2806,4,4,2,"(0.46, 0.72]"
379,0.74,61.7,55.0,2810,4,6,1,"(0.72, 0.98]"
383,0.83,63.5,54.0,2811,2,6,2,"(0.72, 0.98]"
391,0.32,62.8,58.0,554,3,1,2,"(0.197, 0.46]"
394,0.32,63.1,56.0,554,2,1,2,"(0.197, 0.46]"
399,0.3,63.3,56.0,554,2,2,2,"(0.197, 0.46]"
403,0.32,63.9,55.0,554,1,1,2,"(0.197, 0.46]"
407,0.31,61.8,58.0,555,2,4,2,"(0.197, 0.46]"
408,0.34,61.5,56.0,555,4,2,3,"(0.197, 0.46]"
410,0.34,61.8,55.0,555,4,1,4,"(0.197, 0.46]"
412,0.3,62.3,56.0,555,4,3,4,"(0.197, 0.46]"
414,0.35,60.6,56.0,555,4,3,2,"(0.197, 0.46]"
416,0.32,61.4,58.0,556,2,4,3,"(0.197, 0.46]"
417,0.36,61.9,56.0,556,4,1,3,"(0.197, 0.46]"
418,0.3,62.0,56.0,556,4,3,3,"(0.197, 0.46]"
419,0.26,61.5,57.0,556,4,5,4,"(0.197, 0.46]"
420,0.7,62.3,58.0,2812,2,4,3,"(0.46, 0.72]"
422,0.71,62.4,57.0,2812,4,6,2,"(0.46, 0.72]"
424,0.73,58.6,60.0,2812,3,5,3,"(0.72, 0.98]"
425,0.51,62.0,57.0,2812,4,4,6,"(0.46, 0.72]"
426,0.91,59.8,58.0,2813,3,3,1,"(0.72, 0.98]"
429,0.76,62.2,59.0,2814,3,5,2,"(0.72, 0.98]"
430,0.76,61.7,57.0,2814,4,5,2,"(0.72, 0.98]"
431,0.75,61.1,59.0,2814,3,5,2,"(0.72, 0.98]"
433,0.76,58.5,62.0,2815,2,4,1,"(0.72, 0.98]"
434,0.74,61.7,58.0,2815,3,3,4,"(0.72, 0.98]"
436,0.7,61.4,56.0,2815,4,2,2,"(0.46, 0.72]"
441,0.89,60.2,59.0,2815,3,2,1,"(0.72, 0.98]"
444,1.02,60.3,58.0,2815,3,3,0,"(0.98, 1.24]"
445,0.78,61.4,56.0,2816,2,1,5,"(0.72, 0.98]"
448,0.78,61.5,59.0,2816,3,4,2,"(0.72, 0.98]"
450,0.83,62.5,55.0,2816,4,2,2,"(0.72, 0.98]"
451,0.71,61.3,56.0,2817,3,5,2,"(0.46, 0.72]"
457,0.71,61.8,59.0,2817,3,5,2,"(0.46, 0.72]"
458,0.71,61.3,55.0,2817,4,5,2,"(0.46, 0.72]"
459,0.71,61.4,58.0,2817,3,5,2,"(0.46, 0.72]"
460,0.9,62.8,55.0,2817,4,0,3,"(0.72, 0.98]"
471,0.7,62.7,57.0,2818,3,5,4,"(0.46, 0.72]"
474,0.72,62.3,56.0,2819,4,2,4,"(0.46, 0.72]"
475,0.7,59.7,63.0,2819,1,4,4,"(0.46, 0.72]"
480,0.53,61.9,55.0,2821,4,5,6,"(0.46, 0.72]"
481,0.73,61.3,58.0,2821,3,5,2,"(0.72, 0.98]"
486,0.73,63.2,58.0,2821,2,5,2,"(0.72, 0.98]"
487,0.7,60.8,60.0,2822,3,5,4,"(0.46, 0.72]"
488,0.72,60.3,59.0,2822,3,5,3,"(0.46, 0.72]"
489,0.72,60.9,60.0,2822,3,5,3,"(0.46, 0.72]"
490,0.72,62.4,59.0,2822,3,5,3,"(0.46, 0.72]"
494,0.73,62.1,55.0,2822,4,4,2,"(0.72, 0.98]"
495,0.71,62.7,60.0,2822,3,6,2,"(0.46, 0.72]"
496,0.71,61.3,58.0,2822,3,6,2,"(0.46, 0.72]"
498,0.7,60.7,56.0,2822,4,6,2,"(0.46, 0.72]"
501,0.7,61.5,59.0,2822,3,5,3,"(0.46, 0.72]"
502,0.7,62.6,56.0,2822,3,5,3,"(0.46, 0.72]"
508,0.7,60.6,58.0,2822,3,4,3,"(0.46, 0.72]"
509,0.7,61.4,54.0,2822,4,6,2,"(0.46, 0.72]"
519,0.82,62.4,54.0,2824,4,4,1,"(0.72, 0.98]"
520,0.82,60.8,60.0,2824,3,5,1,"(0.72, 0.98]"
523,0.73,62.0,57.0,2825,2,3,4,"(0.72, 0.98]"
534,0.78,60.8,60.0,2826,3,4,2,"(0.72, 0.98]"
535,0.96,60.7,55.0,2826,4,4,0,"(0.72, 0.98]"
536,0.7,62.3,59.0,2827,2,6,2,"(0.46, 0.72]"
537,0.72,64.0,54.0,2827,1,6,3,"(0.46, 0.72]"
538,0.79,62.6,58.0,2827,3,2,5,"(0.72, 0.98]"
539,0.7,61.6,57.0,2827,4,2,6,"(0.46, 0.72]"
540,0.7,62.3,55.0,2827,4,2,6,"(0.46, 0.72]"
541,0.7,60.6,57.0,2828,4,6,1,"(0.46, 0.72]"
544,0.8,63.7,54.0,2829,1,5,1,"(0.72, 0.98]"
545,0.59,62.0,56.0,2829,4,5,6,"(0.46, 0.72]"
546,0.72,61.7,57.0,2829,4,4,4,"(0.46, 0.72]"
547,0.75,61.9,57.0,2829,3,5,1,"(0.72, 0.98]"
548,0.8,60.2,57.0,2829,3,5,1,"(0.72, 0.98]"
554,0.8,62.1,54.4,2830,4,1,3,"(0.72, 0.98]"
557,0.72,62.3,57.0,2831,4,5,2,"(0.46, 0.72]"
558,0.75,61.4,57.0,2831,4,5,2,"(0.72, 0.98]"
559,0.72,62.1,58.0,2831,3,5,2,"(0.46, 0.72]"
560,0.79,61.8,56.0,2831,4,3,2,"(0.72, 0.98]"
561,0.72,62.5,58.0,2832,2,4,3,"(0.46, 0.72]"
569,0.56,61.0,59.0,2833,2,5,7,"(0.46, 0.72]"
570,0.7,59.6,61.0,2833,2,6,3,"(0.46, 0.72]"
572,0.61,61.7,55.0,2833,4,4,5,"(0.46, 0.72]"
573,0.85,62.5,57.0,2833,4,2,1,"(0.72, 0.98]"
574,0.7,60.7,57.0,2833,4,4,2,"(0.46, 0.72]"
577,0.51,59.9,58.0,2834,2,6,6,"(0.46, 0.72]"
578,0.53,61.4,57.0,2834,4,4,6,"(0.46, 0.72]"
580,0.9,63.4,54.0,2834,2,0,2,"(0.72, 0.98]"
584,0.63,61.9,57.0,2835,4,4,5,"(0.46, 0.72]"
585,0.7,61.5,54.0,2835,4,5,3,"(0.46, 0.72]"
586,0.72,62.8,57.0,2835,4,5,3,"(0.46, 0.72]"
587,0.72,61.0,57.0,2835,4,5,2,"(0.46, 0.72]"
589,0.82,60.7,56.0,2836,2,2,2,"(0.72, 0.98]"
591,0.7,62.6,59.0,2837,3,5,4,"(0.46, 0.72]"
592,0.7,61.8,56.0,2837,4,5,4,"(0.46, 0.72]"
597,0.7,62.3,58.0,2838,3,4,3,"(0.46, 0.72]"
599,0.7,62.6,55.0,2838,3,3,4,"(0.46, 0.72]"
605,0.74,60.0,57.0,2839,2,5,2,"(0.72, 0.98]"
606,0.71,61.5,57.0,2839,4,4,4,"(0.46, 0.72]"
609,0.71,59.1,61.0,2839,3,4,4,"(0.46, 0.72]"
610,0.71,59.0,60.0,2839,3,4,4,"(0.46, 0.72]"
614,0.7,62.1,54.0,2839,4,5,3,"(0.46, 0.72]"
615,0.7,61.3,57.0,2839,4,3,4,"(0.46, 0.72]"
621,0.75,59.8,56.0,2840,2,4,1,"(0.72, 0.98]"
624,0.92,61.9,56.0,2840,4,6,1,"(0.72, 0.98]"
625,0.83,61.4,59.0,2840,3,4,1,"(0.72, 0.98]"
631,0.82,62.3,56.0,2841,4,4,1,"(0.72, 0.98]"
633,0.52,61.2,56.0,2841,4,4,6,"(0.46, 0.72]"
636,0.73,61.4,57.0,2841,4,6,2,"(0.72, 0.98]"
637,0.73,59.9,59.0,2841,3,4,3,"(0.72, 0.98]"
638,0.73,61.4,58.0,2841,3,3,4,"(0.72, 0.98]"
639,0.8,62.6,54.0,2842,4,1,4,"(0.72, 0.98]"
642,0.7,62.7,58.0,2843,2,5,3,"(0.46, 0.72]"
643,0.71,59.4,58.0,2843,2,5,3,"(0.46, 0.72]"
645,0.71,61.5,58.0,2843,2,6,2,"(0.46, 0.72]"
653,1.01,61.5,57.0,2844,4,1,0,"(0.98, 1.24]"
655,0.79,62.5,57.0,2844,4,2,3,"(0.72, 0.98]"
660,0.79,61.5,56.0,2846,4,6,2,"(0.72, 0.98]"
661,0.72,60.2,59.0,2846,2,4,4,"(0.46, 0.72]"
667,0.7,59.1,61.0,2846,1,4,3,"(0.46, 0.72]"
670,0.77,61.4,58.0,2846,3,3,4,"(0.72, 0.98]"
677,0.79,64.1,54.0,2849,1,5,2,"(0.72, 0.98]"
680,0.7,60.8,59.0,2850,4,4,3,"(0.46, 0.72]"
681,0.75,61.5,56.0,2850,4,0,2,"(0.72, 0.98]"
685,0.87,61.0,63.0,2851,2,4,1,"(0.72, 0.98]"
687,0.74,61.0,57.0,2851,4,4,2,"(0.72, 0.98]"
688,0.58,60.6,59.0,2852,2,5,7,"(0.46, 0.72]"
691,0.73,62.7,55.0,2852,4,5,2,"(0.72, 0.98]"
697,0.71,62.7,58.0,2853,3,5,2,"(0.46, 0.72]"
699,0.78,61.9,57.1,2854,2,2,4,"(0.72, 0.98]"
700,0.7,62.4,56.0,2854,2,5,4,"(0.46, 0.72]"
701,1.12,59.1,61.0,2854,3,2,0,"(0.98, 1.24]"
708,0.68,61.7,57.0,2854,3,4,5,"(0.46, 0.72]"
715,1.02,61.6,55.0,2856,4,2,1,"(0.98, 1.24]"
716,0.6,60.8,57.0,2856,4,4,5,"(0.46, 0.72]"
717,0.8,61.6,56.0,2856,4,3,1,"(0.72, 0.98]"
721,0.26,62.1,56.0,556,4,5,4,"(0.197, 0.46]"
722,0.36,61.9,55.0,556,4,2,2,"(0.197, 0.46]"
724,0.34,63.3,57.0,556,1,5,2,"(0.197, 0.46]"
725,0.34,63.5,55.0,556,1,5,2,"(0.197, 0.46]"
726,0.34,63.4,55.0,556,1,5,2,"(0.197, 0.46]"
727,0.34,59.6,62.0,556,2,3,3,"(0.197, 0.46]"
728,0.34,62.2,54.0,556,4,5,2,"(0.197, 0.46]"
729,0.32,64.1,54.0,556,1,5,3,"(0.197, 0.46]"
731,0.31,61.3,56.0,557,4,1,6,"(0.197, 0.46]"
734,0.31,62.7,53.0,557,4,1,6,"(0.197, 0.46]"
736,0.31,62.2,53.6,557,4,3,3,"(0.197, 0.46]"
737,0.31,61.6,54.8,557,4,2,4,"(0.197, 0.46]"
738,0.31,61.8,54.2,557,4,2,4,"(0.197, 0.46]"
739,0.33,59.4,59.0,557,3,3,1,"(0.197, 0.46]"
740,0.33,62.3,58.0,557,3,4,1,"(0.197, 0.46]"
741,0.33,62.6,58.0,557,3,3,1,"(0.197, 0.46]"
742,0.33,61.9,56.0,557,4,3,1,"(0.197, 0.46]"
743,0.33,63.0,58.0,557,3,4,1,"(0.197, 0.46]"
746,0.33,62.1,55.0,557,4,0,4,"(0.197, 0.46]"
752,0.77,61.0,58.0,2856,3,4,2,"(0.72, 0.98]"
755,0.72,62.3,57.0,2857,4,5,2,"(0.46, 0.72]"
757,0.72,62.1,58.0,2857,3,5,2,"(0.46, 0.72]"
762,0.7,61.4,59.0,2858,3,5,3,"(0.46, 0.72]"
765,0.92,62.9,58.0,2858,3,0,2,"(0.72, 0.98]"
766,0.76,62.7,54.0,2858,4,5,2,"(0.72, 0.98]"
773,0.7,62.4,56.0,2859,3,6,3,"(0.46, 0.72]"
775,0.71,61.5,56.0,2859,4,3,4,"(0.46, 0.72]"
776,0.7,59.6,61.0,2859,3,6,3,"(0.46, 0.72]"
781,0.6,61.9,54.9,2860,4,5,5,"(0.46, 0.72]"
783,0.53,61.4,57.0,2860,4,4,6,"(0.46, 0.72]"
785,0.62,61.6,56.0,2861,4,3,5,"(0.46, 0.72]"
786,0.62,61.6,56.0,2861,4,3,5,"(0.46, 0.72]"
788,0.62,60.1,61.0,2861,0,4,7,"(0.46, 0.72]"
790,0.66,61.0,58.0,2861,3,6,4,"(0.46, 0.72]"
791,0.7,62.5,55.0,2862,2,6,2,"(0.46, 0.72]"
794,0.79,62.3,54.0,2862,3,4,2,"(0.72, 0.98]"
796,0.7,61.1,57.0,2862,4,2,3,"(0.46, 0.72]"
799,0.7,59.5,59.0,2862,3,5,3,"(0.46, 0.72]"
800,1.22,60.9,57.0,2862,3,5,0,"(0.98, 1.24]"
802,0.73,62.5,61.0,2862,3,5,3,"(0.72, 0.98]"
806,0.84,62.3,59.0,2863,3,4,1,"(0.72, 0.98]"
808,0.71,59.7,59.0,2863,3,6,2,"(0.46, 0.72]"
810,0.71,61.7,57.0,2863,4,6,2,"(0.46, 0.72]"
812,0.71,60.6,58.0,2863,3,6,2,"(0.46, 0.72]"
813,0.91,59.5,62.0,2863,3,0,2,"(0.72, 0.98]"
816,0.71,59.1,61.0,2863,3,5,2,"(0.46, 0.72]"
819,0.71,61.0,55.0,2863,4,5,3,"(0.46, 0.72]"
820,0.81,60.3,57.0,2864,4,5,1,"(0.72, 0.98]"
821,0.83,61.6,58.0,2865,2,1,3,"(0.72, 0.98]"
823,0.56,62.0,56.0,2866,2,6,6,"(0.46, 0.72]"
824,0.56,61.8,55.0,2866,2,6,6,"(0.46, 0.72]"
825,0.71,62.2,55.0,2866,4,5,4,"(0.46, 0.72]"
826,0.7,62.3,58.0,2866,4,2,6,"(0.46, 0.72]"
827,0.96,61.3,58.0,2866,3,1,2,"(0.72, 0.98]"
830,0.71,60.4,57.0,2867,4,2,6,"(0.46, 0.72]"
832,0.95,58.4,57.0,2867,3,4,1,"(0.72, 0.98]"
834,0.52,61.2,56.0,2867,4,4,6,"(0.46, 0.72]"
836,0.82,62.3,56.0,2867,4,4,1,"(0.72, 0.98]"
840,0.72,62.4,55.0,2868,4,1,4,"(0.46, 0.72]"
845,0.72,60.8,55.0,2869,4,5,2,"(0.46, 0.72]"
848,0.72,60.9,57.0,2869,4,2,5,"(0.46, 0.72]"
850,0.83,62.2,57.0,2870,4,5,1,"(0.72, 0.98]"
851,0.64,62.1,58.0,2870,3,5,5,"(0.46, 0.72]"
853,0.74,62.1,56.0,2870,4,2,2,"(0.72, 0.98]"
854,0.72,61.5,56.0,2870,4,4,2,"(0.46, 0.72]"
855,0.82,59.5,57.0,2870,4,2,3,"(0.72, 0.98]"
856,0.73,61.3,59.0,2870,3,5,4,"(0.72, 0.98]"
858,0.73,61.3,58.0,2871,2,5,2,"(0.72, 0.98]"
861,0.75,61.8,55.0,2871,4,1,2,"(0.72, 0.98]"
862,0.79,62.6,55.0,2871,4,3,2,"(0.72, 0.98]"
865,1.02,61.7,56.0,2872,4,1,0,"(0.98, 1.24]"
866,0.7,59.0,62.0,2872,2,3,1,"(0.46, 0.72]"
869,0.7,61.4,54.0,2872,4,6,2,"(0.46, 0.72]"
870,0.7,60.7,56.0,2872,4,6,2,"(0.46, 0.72]"
878,1.0,61.7,56.0,2873,4,1,1,"(0.98, 1.24]"
885,0.9,60.9,61.0,2873,3,0,2,"(0.72, 0.98]"
888,0.7,59.0,59.0,2874,3,4,4,"(0.46, 0.72]"
892,0.7,61.6,55.0,2874,4,4,4,"(0.46, 0.72]"
893,0.7,62.4,56.0,2874,4,4,4,"(0.46, 0.72]"
896,0.77,62.4,56.0,2875,4,2,2,"(0.72, 0.98]"
902,0.72,62.2,54.0,2877,2,2,4,"(0.46, 0.72]"
903,0.71,62.4,56.0,2877,4,5,4,"(0.46, 0.72]"
904,0.74,62.3,55.0,2877,4,3,3,"(0.72, 0.98]"
911,0.79,62.8,56.0,2878,4,4,2,"(0.72, 0.98]"
913,0.63,60.3,62.0,2879,3,5,7,"(0.46, 0.72]"
915,0.71,62.7,58.0,2879,3,4,4,"(0.46, 0.72]"
917,0.84,62.3,55.0,2879,4,3,1,"(0.72, 0.98]"
918,1.02,60.3,54.0,2879,4,0,1,"(0.98, 1.24]"
920,0.72,62.0,56.0,2879,4,4,4,"(0.46, 0.72]"
922,0.74,63.9,57.0,2880,2,6,2,"(0.72, 0.98]"
927,0.54,61.8,56.0,2882,4,4,6,"(0.46, 0.72]"
928,0.73,59.9,58.0,2882,3,4,3,"(0.72, 0.98]"
929,0.88,56.6,65.0,2882,0,4,2,"(0.72, 0.98]"
937,0.77,61.5,55.0,2885,4,6,1,"(0.72, 0.98]"
940,0.73,61.4,56.0,2886,4,5,2,"(0.72, 0.98]"
943,0.7,62.6,59.0,2887,3,5,4,"(0.46, 0.72]"
944,0.79,61.7,59.0,2888,4,1,4,"(0.72, 0.98]"
946,0.7,63.5,54.0,2889,2,5,3,"(0.46, 0.72]"
947,0.7,62.2,58.0,2889,2,4,4,"(0.46, 0.72]"
949,0.71,62.8,56.0,2889,2,4,4,"(0.46, 0.72]"
950,0.5,62.2,54.0,2889,4,5,5,"(0.46, 0.72]"
951,0.5,62.2,54.0,2889,4,5,5,"(0.46, 0.72]"
952,0.74,61.2,56.0,2889,4,4,2,"(0.72, 0.98]"
